Shixiang,Yonghua,Ziyang,Sample
s3,s3,s3,...自四川平武的胡支兰很[兴奋]。半个月前，她还在为回...
s3,s3,s3,...早已饥肠辘辘的官兵们[兴奋]不已，有人拾柴，有人架...
s3,s3,s3,...领域发挥作用，我感到[兴奋]。在北京理工大学工作两...
s3,s3,s3,...遇到难题，他反而更加[兴奋]。在他看来，难题意味着...
s3,s3,s3,...社区的居民吕文东十分[兴奋]。作为体育爱好者，吕文...
s3,s3,s3,...“西游迷”“三国迷”[兴奋]不已。
s3,s3,s3,...瑞安·塔利对本报记者[兴奋]地说，协议的签署对美国...
s4,s4,s4,...名。拿到票的那晚，她[兴奋]得一宿没睡好。“能坐高...
s3,s3,s3,...能在这条赛道夺冠十分[兴奋]，她也认为这个赛道的最...
s1,s1,s1,...或睡前。夜间迷走神经[兴奋]，心率和血压在睡眠后都...
s3,s3,s3,...同意的意思，于是更加[兴奋]了，吟唱似的讲起年间物...
s3,s3,s3,...俊踏上家乡土地，难掩[兴奋]之情。
s3,s3,s3,...现在从没见过雪，那种[兴奋]的表情特别有意思；这是...
s1,s1,s1,...，提高中枢神经系统的[兴奋]性和反应能力。
s2,s3,s3,...国人一年中最盼望、最[兴奋]、最重要的节日。它是流...
s3,s3,s3,...官兵们拿到照片，个个[兴奋]不已。至今，这张图片还...
s3,s3,s3,...提起这事儿，王宏志既[兴奋]又自豪。“有一次全家一...
s2,s4,s3,...些游客看到美丽的珊瑚[兴奋]不已，冲上去像薅白菜一...
s3,s3,s3,...传统手艺走出国门，既[兴奋]又自豪。”马石凹扎进坊...
s3,s3,s3,...地联系时，电话那边就[兴奋]得不行，说这边乡亲们都...
s4,s4,s4,...得多。第一个晚上，我[兴奋]得没睡着，做梦都没想到...
s3,s3,s3,...通过海关入境。“当时[兴奋]极了，我坐在装种子的麻...
s3,s3,s3,...前，十里八乡的果农们[兴奋]了，田坝村党支部书记王...
s3,s3,s3,...证了中国这些成就感到[兴奋]。我们祖孙三辈，经历了...
s3,s3,s3,...患者治愈出院，她非常[兴奋]：“特别开心，这是我们...
s3,s3,s3,...了。周菂很紧张，又很[兴奋]。
s3,s3,s3,...城里。”赵顺利越说越[兴奋]。
s3,s4,s3,...被他描述为“一生中最[兴奋]的一天”。随后，霍克尼...
s3,s3,s3,...在这样的氛围中感到很[兴奋]。”周跃龙在颁奖仪式上...
s3,s3,s3,...……这些经历都让沃森[兴奋]不已。
s3,s3,s3,...驻地见到王奔，他一脸[兴奋]。3月10日，在疫情防...
s3,s3,s3,...到运输任务，大家都很[兴奋]，我们通过区域间车辆接...
s3,s3,s3,...鲜的活鱼让居民们很是[兴奋]和期待。社区下沉干部毕...
s3,s3,s3,...诺亚手握采购订单十分[兴奋]：“最近几天都在义乌市...
s3,s3,s3,...回忆起来，林君兴依然[兴奋]。他们的大巴车跨越广西...
s3,s3,s3,...现场，眼前的景象让人[兴奋]。
